👵 PERSONA:
Nombre: Laura
Descripción: Hola, soy Laura, tu vendedora virtual. Que producto estas buscando?

📚 KNOWLEDGE BASE:

Código	Descripción	Precio
P00001	Auriculares Bluetooth Modelo 305	333.49
P00002	Batería Externa Modelo 126	102.03
P00003	Lámpara LED Modelo 140	462.8
P00004	Teclado Inalámbrico Modelo 594	194.96
P00005	Tablet Android Modelo 440	482.32
P00006	Batería Externa Modelo 824	450.11
P00007	Smartwatch Deportivo Modelo 228	301.31
P00008	Router WiFi Modelo 849	276.98
P00009	Micrófono Profesional Modelo 295	84.26
P00010	Monitor 24'' Modelo 936	474.87
P00011	Luz de Anillo para Streaming Modelo 355	107.7
P00012	Auriculares Bluetooth Modelo 398	348.96
P00013	Luz de Anillo para Streaming Modelo 927	307.79
P00014	Tablet Android Modelo 114	366.65
P00015	Tablet Android Modelo 846	286.89
P00016	Hub USB 4 Puertos Modelo 839	324.88
P00017	Smartwatch Deportivo Modelo 301	60.36
P00018	Repetidor de Señal Modelo 232	96.82
P00019	Silla Ergonómica Modelo 895	328.8
P00020	Proyector Portátil Modelo 473	51.27
P00021	Teclado Inalámbrico Modelo 233	369.79
P00022	Router WiFi Modelo 939	147.28
P00023	Auriculares Bluetooth Modelo 502	451.7
P00024	Luz de Anillo para Streaming Modelo 946	340.4
P00025	Teclado Inalámbrico Modelo 202	180.21
P00026	Soporte para Celular Modelo 228	328.61
P00027	Proyector Portátil Modelo 949	103.89
P00028	Proyector Portátil Modelo 655	300.51
P00029	Teclado Inalámbrico Modelo 412	392.55
P00030	Tablet Android Modelo 196	366.31
P00031	Teclado Inalámbrico Modelo 398	190.23
P00032	Ventilador de Escritorio Modelo 524	82.58
P00033	Soporte para Celular Modelo 525	272.26
P00034	Auriculares Bluetooth Modelo 705	50.33
P00035	Tablet Android Modelo 976	75.57
P00036	Luz de Anillo para Streaming Modelo 930	286.19
P00037	Micrófono Profesional Modelo 995	353.34
P00038	Auriculares Bluetooth Modelo 702	38.24
P00039	Router WiFi Modelo 467	95.54
P00040	Lámpara LED Modelo 440	315.95
P00041	Micrófono Profesional Modelo 701	333.62
P00042	Smartwatch Deportivo Modelo 346	225.87
P00043	Monitor 24'' Modelo 723	358.26
P00044	Cámara de Seguridad Modelo 697	494.34
